"","PC1","PC2","PC3"
"anomalia_xco2",0.0401492349640137,0.180410784559769,0.771068223876394
"vento",0.0595412317163729,-0.79494954526924,0.00540256316360618
"anomalia_xch4",0.0906621462367283,0.636807547442695,0.587240168833536
"desmatamento",0.108150581620225,0.518007805133774,-0.0678005054820172
"lai",0.570095365790247,0.608395399970985,-0.377880022026438
"precipitacao",0.683731442745938,-0.096438699525052,0.17404206555657
"fpar",0.704030815353452,0.33522586951745,-0.424236581967066
"radiacao",0.840187210789511,-0.40564506005597,0.129241722969341
"pressao",0.859620657701025,-0.167875846158608,0.0944634727888091
"umidade",0.905816244226015,-0.116420407870279,0.141450304579845
